type	sort	type_desc	Model	Outdoor Unit	Capacity	BTUs	Refrigerant	title	sub_title	Details	Description	SEER	image
stats	6	Thermostats	TP-NHP01					Performance™ Series	Edge® non-programmable HP and AC capable thermostat		Performance™ Series		TP_Non_Program.jpg
stats	7	Thermostats	TP-NAC01					Performance™ Series	Edge® non-programmable AC-only capable thermostat		Performance™ Series		TP_Non_Program.jpg
stats	8	Thermostats	TC-PHP01					Comfort™ Series	Programmable HP and AC capable thermostat		Comfort™ Series		TC_Programmable.jpg
stats	9	Thermostats	TC-PAC01					Comfort™ Series	Programmable AC-only capable thermostat		Comfort™ Series		TC_Programmable.jpg
stats	10	Thermostats	TC-NHP01					Comfort™ Series	Large-screen non-programmable HP and AC capable thermostat		Comfort™ Series		TC_Non_Programmable.jpg
stats	11	Thermostats	TC-NAC01					Comfort™ Series	Large-screen non-programmable AC-only capable thermostat		Comfort™ Series		TC_Non_Programmable.jpg
stats	12	Thermostats	TCSNHP01					Comfort™ Series	Standard-screen non-programmable HP and AC capable thermostat		Comfort™ Series		
stats	13	Thermostats	TCSNAC01					Comfort™ Series	Standard-screen non-programmable AC-only capable thermostat		Comfort™ Series		
stats	14	Thermostats	TB-PHP01					Base Models	Programmable HP and AC capable thermostat		Base Models		
stats	15	Thermostats	TB-PAC01					Base Models	Programmable AC-only capable thermostat		Base Models		
stats	16	Thermostats	TB-NHP01					Base Models	Non-programmable HP and AC capable thermostat		Base Models		
stats	17	Thermostats	TB-NAC01					Base Models	Non-programmable AC-only capable thermostat		Base Models		
stats	18	Thermostats	TSTATXXSEN01-B					Outdoor Air Temperature Sensor			Outdoor Air Temperature Sensor		
stats	19	Thermostats	TSTATXXRRS01-B					Remote room temperature sensor			Remote room temperature sensor		
